asset_id,maintenance_date,maintenance_type,technician,work_performed,parts_replaced,downtime_hours,cost_aud,notes
MCE-0092,2026-02-03,Inverter firmware update,Emma Thompson,Performed vibration sensor calibration,Bearing kit,3.8,23989.84,Completed successfully
MCE-0086,2026-01-30,Vibration sensor calibration,David Martinez,Performed bearing replacement,Blade components,7.1,9929.52,Completed successfully
MCE-0031,2026-01-30,Scheduled inspection,James Chen,Performed cooling system service,Oil filter,6.1,13711.41,Completed successfully
MCE-0047,2026-01-27,Oil change,Sarah Williams,Performed inverter firmware update,Blade components,4.3,19248.89,Completed successfully
MCE-0034,2026-01-27,Emergency repair,Michael O'Donnell,Performed emergency repair,Sensor module,4.7,17296.81,Completed successfully
MCE-0060,2026-01-26,Blade adjustment,Emma Thompson,Performed oil change,Bearing kit,5.9,16225.57,Completed successfully
MCE-0045,2026-01-20,Cooling system service,David Martinez,Performed cooling system service,None,1.2,16005.29,Completed successfully
MCE-0007,2026-01-18,Cooling system service,David Martinez,Performed inverter firmware update,Blade components,1.2,8871.42,Completed successfully
MCE-0048,2026-01-17,Scheduled inspection,David Martinez,Performed bearing replacement,Sensor module,1.9,20734.66,Completed successfully
MCE-0074,2026-01-14,Cooling system service,James Chen,Performed inverter firmware update,Oil filter,5.9,3919.56,Completed successfully
MCE-0078,2026-01-13,Scheduled inspection,David Martinez,Performed cooling system service,Oil filter,4.0,5397.19,Completed successfully
MCE-0044,2026-01-11,Scheduled inspection,David Martinez,Performed oil change,Bearing kit,3.8,14638.76,Completed successfully
MCE-0093,2026-01-09,Inverter firmware update,Michael O'Donnell,Performed inverter firmware update,Bearing kit,4.5,24625.45,Completed successfully
MCE-0008,2026-01-07,Emergency repair,Michael O'Donnell,Performed oil change,Oil filter,3.3,18076.41,Completed successfully
MCE-0069,2026-01-06,Bearing replacement,Michael O'Donnell,Performed oil change,None,2.5,20806.22,Follow-up required
MCE-0043,2026-01-05,Cooling system service,David Martinez,Performed inverter firmware update,Sensor module,7.4,20366.69,Completed successfully
MCE-0072,2026-01-04,Vibration sensor calibration,Sarah Williams,Performed inverter firmware update,Bearing kit,4.7,22591.33,Completed successfully
